timestamp,enter_threshold,anomaly_threshold,imbalance_threshold,exit_threshold,price_add,order_hold,stake,adaptive_step,avg_recent_pnl,recent_market_count,note
2026-04-18T18:07:20.963688+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-18T18:07:56.040858+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-18T23:21:33.149375+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T03:49:06.526059+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T03:49:39.687794+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T10:08:17.360298+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T10:08:49.957478+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T13:53:39.052073+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T13:54:11.453170+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T14:41:45.525907+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T14:42:18.678863+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T15:02:52.039149+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T15:03:25.766374+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T15:04:07.104992+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T15:34:40.482939+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T15:35:13.531474+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T17:24:48.812957+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T17:25:22.330749+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T17:58:55.009188+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T17:59:28.213922+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-19T18:00:01.334314+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-20T12:37:46.985086+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-20T12:38:19.801402+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-20T12:38:53.487360+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-20T14:26:26.236084+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-20T14:27:03.985246+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
2026-04-28T17:53:43.911162+00:00,2.5,2.0,0.5,5.0,0.0,17,2,0.1,0.0,0,startup
